How old are you?;What is your gender?;What is the highest degree or level of education you have completed?;What is your employment status?;Have you adopted a Fintech bank (i.e., opened and used an account)?;Which banks do you currently actively use?;What were the main reasons you adopted a Fintech bank? (Select up to 2 options);How frequently do you use your Fintech bank?;Which Fintech services do you actively use? (Select all that apply);In a few words can you explain what you like the most about your Fintech bank?;If you have not adopted a Fintech, what is the main reason?;Which of the following factors influence your hesitation to adopt Fintech banking serivces?;On a scale from 1 to 5, how much do you trust Fintech banks?;On a scale from 1 to 5, how much do you trust Traditional banks?;What changes would make Fintech banks more attractive to you?;If you are considering adopting a Fintech bank, what would be the most important deciding factor for you?;Thank you!
29-44;Male;Higher professional education or technical HBO diploma;Employed Full time;No;ING;;;;;Gemak van alles onder 1 dak. Hypotheek, verzekeringen, beleggen, betalen, sparen, creditcard. ING heeft alles.;other alles onder 1 dak;4 = Somewhat trust;5 = Fully trust;Meer producten tegen aantrekkelijke tarieven. Of mooie samenwerkingen met retailers voor kortingen (zoals de puntenwinkel);;
29-44;Male;Higher professional education or technical HBO diploma;Employed Full time;No;ING;;;;;Tevreden met huidige bank;Security & Data Privacy risks, AI-driven descion making (e.g. loan approvals, fraud detection);2 = Low trust;4 = Somewhat trust;Geen;Niets;
29-44;Male;Master's degree;Employed Full time;Yes;Revolut;Lower fees, Faster transactions, Better investment options, No foreign transaction fees;Occasionally (A few times a month);Savings & Investments, Cryptocurrency transactions, International transfers;Fast, Better UI/UX, Free and simple to use abroad;;;3 = Neutral;5 = Fully trust;They have to show stability over time, long term stability;;
18-28;Male;Bachelor's degree;Employed Full time;Yes;Revolut;Lower fees, Better mobile experience, Faster transactions, Better investment options;Regularly (Weekly);Everyday transactions (e.g. payments, transfers), Savings & Investments, Loans & Credit, AI-driven budgeting tools, International transfers;"Easy to use
UI";;;3 = Neutral;5 = Fully trust;Less fees;;
45-60;Male;Master's degree;Employed Full time;No;ING;;;;;Gemak om alles bij 1 bank te hebben;other Geen van deze;3 = Neutral;5 = Fully trust;Ik ben er niet zo mee bezig;;
45-60;Male;Master's degree;Employed Full time;Yes;None (have a revolut account, but don't use it);Other nieuwsgierig naar experience;Regularly (Weekly);other geen;Ik gebruik m niet;;;3 = Neutral;5 = Fully trust;geen;;
61-70;Female;High School diploma;Employed Part time;No;Ing;;;;;Geen idee;other other;3 = Neutral;5 = Fully trust;;;
71+;Female;High School diploma;Retired;Yes;SNS ing;Better mobile experience, Faster transactions;Daily;Everyday transactions (e.g. payments, transfers), Savings & Investments;Ik heb niet veel voordelen. Het is zoals het is. Het ergste vindt ik de te lage rente bij  eerste de rente omlaag. Schaam je met zoveel winst;;;2 = Low trust;2 = Low trust;Betere rente. Je beheerst mijn geld.;;
61-70;Male;Higher professional education or technical HBO diploma;Retired;No;N.v.t.;;;;;Geen;other other;1 = No trust at all;3 = Neutral;Geen;Weet ik veel.;
61-70;Male;High School diploma;Employed Full time;No;Geen;;;;;Ken h;Security & Data Privacy risks;1 = No trust at all;2 = Low trust;Geen id;Geen id;
29-44;Female;Bachelor's degree;Employed Full time;No;Ing;;;;;I don't know what it is;other as mentioned before, I don't know what it is;3 = Neutral;3 = Neutral;Ma basta, i already said twice I don't know what it is;;
71+;Male;Higher professional education or technical HBO diploma;Retired;No;Geen een.;;;;;Ik heb niet veel geld!;Lack of physical branches;4 = Somewhat trust;4 = Somewhat trust;Weet ik niet!;"Weet niet!
";
29-44;Male;High School diploma;Employed Part time;Yes;Trade Republic;Lower fees, Better investment options;Regularly (Weekly);Savings & Investments;Meer rente. Even veel gemak.;;;4 = Somewhat trust;3 = Neutral;Sneller overboeken.;;
29-44;Female;Master's degree;Employed Full time;No;ING & Rabobank;;;;;Ik heb het wel geopend, maar ben er nog niet aan toegekomen om me er echt in te verdiepen. Eigen bank is net zo handig;other other;3 = Neutral;5 = Fully trust;;Het gevoel dat ik ze makkelijk kan bereiken, de zekerheid dat mijn geld veilig is;
45-60;Female;Master's degree;Employed Full time;No;Rabobank, ING;;;;;Nog een extra rekening en heeft voor mij geen toegevoegde waarde bovenop mijn huidige bankrekeningen;other geen van bovenstaande;5 = Fully trust;;"geen idee
";nvt;
